"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-16031.4047745,-16030.8585,25.964476082302,25.4599485000009,-16074.9763,-15989.31155,1.00190580934287,984.205205887208,2332.50829911249
"2","mu_pr[1]",-0.555494607201332,-0.55947113,0.298484154954203,0.292822899684,-1.038824225,-0.0575961998000002,1.01375679418752,308.92686494083,725.526060520495
"3","mu_pr[2]",-1.45679543522988,-1.4808392,0.281134019815481,0.28103980275,-1.876320205,-0.9720491105,1.01288507807031,340.529530513681,1047.02987359429
"4","mu_pr[3]",-0.53049820454125,-0.529623965,0.0897242847115478,0.0898954939679999,-0.6793958515,-0.3833571735,1.00119494849648,1018.87725968216,2104.86916562317
"5","sigma[1]",0.62759681725875,0.623507245,0.148588520199897,0.145929034041,0.39265258,0.873060394,1.01198553095656,419.45561391776,1211.68301817643
"6","sigma[2]",0.391803780392,0.38845992,0.104137539326881,0.09348675147,0.2220490515,0.5655185745,1.00486828969572,619.526369490996,712.039415058117
"7","sigma[3]",0.91532652517375,0.912977175,0.0739655291187401,0.073479205317,0.795933597,1.041319005,1.00102843439693,1159.32004299491,2637.9306467578
"8","tau_pr[1]",0.165781789477679,0.151397475,0.790654220879569,0.754689886923,-1.09123902,1.48171044,1.00091558905737,6612.78204723383,5263.39681911216
"9","tau_pr[2]",-0.260139843565791,-0.281328055,0.96671896720069,0.971327161707,-1.812608175,1.389870505,1.00138275641059,7350.82291435313,5956.64173682176
"10","tau_pr[3]",-0.0805046904314663,-0.0825814555,0.900737611596667,0.87792077457,-1.54545345,1.411381515,1.00063338507914,10945.3651115595,6389.37503029845
"11","tau_pr[4]",1.55649392256917,1.53675635,0.619368999784506,0.58184555457,0.576413672,2.61210167,1.00257664977781,2475.35527881176,3012.7683473847
"12","tau_pr[5]",1.40165405520299,1.3877554,0.659408337020587,0.623185616844,0.336031161,2.489938885,1.0017088528755,2122.82267239802,2494.05349377106
"13","tau_pr[6]",0.607623852432111,0.590547765,0.743640590844204,0.709216195002,-0.5777567225,1.878136745,1.00193308774379,3936.49555481207,3462.39527711259
"14","tau_pr[7]",-0.264540179510189,-0.299572925,0.931488611098628,0.908620431621,-1.727885655,1.321397615,1.00008379534368,7932.26466627175,5957.29856417063
"15","tau_pr[8]",0.10163019497775,0.0726662405,0.890456739085253,0.861629861988,-1.34269275,1.583611925,1.00090178266919,8192.16812419256,4834.15873082006
"16","tau_pr[9]",-0.0888279653028688,-0.11258982,0.914174773362769,0.879247664505,-1.558075565,1.465359535,1.00099558163508,10116.6920324808,6097.69347620917
"17","tau_pr[10]",-0.0749988007318025,-0.0970608925,0.870052156635093,0.8205702742755,-1.46641206,1.41825543,1.00057043092203,9475.40473118035,6485.99969164658
"18","tau_pr[11]",-0.261018653853722,-0.293230245,0.921976311562632,0.878683483314,-1.73607864,1.29409863,1.0005743151767,10242.2077158893,5545.7111274072
"19","tau_pr[12]",0.0426175358506075,0.0426259235,0.93613321277066,0.9056865463569,-1.484509765,1.5921788,0.999924589391464,10907.3309575356,6760.7499176812
"20","tau_pr[13]",-0.125933585115572,-0.11315113,0.822372376210786,0.76425161169,-1.491856615,1.23275312,1.00035357881003,6597.59076751309,5920.86042257186
