"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"symmetric",0,0,-15980.5091219945,229.026652156738,318.161960597161,17.4468968721589,31961.0182439889,458.053304313476
"bias",-365.318732522802,62.1392236516978,-16345.8278545173,224.280793504467,158.283506201286,5.75803394270652,32691.6557090345,448.561587008933
