"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"symmetric",0,0,-5618.214891956,101.9379753779,112.711251286276,12.1319658153717,11236.429783912,203.8759507558
"asym_lambda",-34.2623241260371,18.1587837371483,-5652.47721608204,101.363651832436,121.424257451516,12.785352260188,11304.9544321641,202.727303664871
"sym_lambda",-41.9610717221511,18.3186049991318,-5660.17596367815,101.059851342557,120.862411795837,12.7175063075912,11320.3519273563,202.119702685113
"bias",-239.097393848839,62.4592605936555,-5857.31228580484,83.6537452045767,52.3304410358309,3.44255450213858,11714.6245716097,167.307490409153
