"study","model","subID","subj_idx","n_trials","k_mean","k_max","n_good","n_ok","n_bad","n_verybad","pct_reliable","concern"
"S1","symmetric",58585,16,148,0.0051,0.2481,148,0,0,0,100,"NONE"
"S1","symmetric",58623,17,148,0.0463,0.168,148,0,0,0,100,"NONE"
"S1","symmetric",58630,18,145,-0.013,0.1813,145,0,0,0,100,"NONE"
"S1","symmetric",58633,19,148,-0.0869,0.3747,148,0,0,0,100,"NONE"
"S1","symmetric",58664,20,147,0.0537,3.6726,145,0,0,2,98.6,"HIGH"
"S1","symmetric",58684,21,148,0.6603,3.5545,93,0,1,54,62.8,"HIGH"
"S1","symmetric",58704,22,148,0.0137,0.1058,148,0,0,0,100,"NONE"
"S1","symmetric",58726,23,147,0.0036,0.1112,147,0,0,0,100,"NONE"
"S1","symmetric",58818,24,146,0.0339,0.2376,146,0,0,0,100,"NONE"
"S1","symmetric",58826,25,148,-0.0478,0.109,148,0,0,0,100,"NONE"
"S1","symmetric",58875,26,145,0.0698,0.112,145,0,0,0,100,"NONE"
"S1","symmetric",58890,27,148,-0.0326,0.036,148,0,0,0,100,"NONE"
"S1","symmetric",58896,28,148,-0.0048,0.2715,148,0,0,0,100,"NONE"
"S1","symmetric",58941,29,147,-0.0051,0.2174,147,0,0,0,100,"NONE"
"S1","symmetric",58971,30,148,-0.1113,0.4561,148,0,0,0,100,"NONE"
"S1","symmetric",58976,31,148,-0.0335,0.3477,148,0,0,0,100,"NONE"
"S1","symmetric",58990,32,148,0.0945,1.2557,132,7,4,5,93.9,"HIGH"
"S1","symmetric",58994,33,148,-0.0303,0.0942,148,0,0,0,100,"NONE"
"S1","symmetric",59058,34,147,0.0818,0.1346,147,0,0,0,100,"NONE"
"S1","symmetric",59066,35,148,-0.0304,0.5319,147,1,0,0,100,"LOW"
"S1","symmetric",59082,36,118,0.5371,2.5781,54,16,30,18,59.3,"HIGH"
"S1","symmetric",59095,37,131,1.7876,5.1892,64,2,3,62,50.4,"HIGH"
"S1","symmetric",59134,38,129,0.0151,0.1971,129,0,0,0,100,"NONE"
"S1","symmetric",59136,39,132,-0.0093,0.1938,132,0,0,0,100,"NONE"
"S1","symmetric",59142,40,148,0.0171,0.1426,148,0,0,0,100,"NONE"
"S1","symmetric",59151,41,148,0.0238,0.1333,148,0,0,0,100,"NONE"
"S1","symmetric",59164,42,145,0.0343,0.1749,145,0,0,0,100,"NONE"
"S1","symmetric",59167,43,148,-0.0382,0.0684,148,0,0,0,100,"NONE"
"S1","symmetric",59198,44,146,0.0123,0.2546,146,0,0,0,100,"NONE"
"S1","symmetric",59216,45,148,2e-04,0.1736,148,0,0,0,100,"NONE"
"S1","symmetric",59248,46,148,0.0015,0.1374,148,0,0,0,100,"NONE"
"S1","symmetric",59274,47,148,0.3354,2.8576,119,7,10,12,85.1,"HIGH"
"S1","symmetric",59287,48,127,0.0263,0.1459,127,0,0,0,100,"NONE"
"S1","symmetric",59297,49,148,0.1099,4.0924,146,0,0,2,98.6,"HIGH"
"S1","symmetric",59298,50,146,-0.0255,0.1221,146,0,0,0,100,"NONE"
"S1","symmetric",59306,51,148,0.0294,0.201,148,0,0,0,100,"NONE"
"S1","symmetric",59307,52,148,-0.0304,0.2036,148,0,0,0,100,"NONE"
"S1","symmetric",59308,53,148,-0.0198,0.1094,148,0,0,0,100,"NONE"
"S1","symmetric",59310,54,148,0.0101,0.1005,148,0,0,0,100,"NONE"
"S1","symmetric",59321,55,143,-0.0195,0.1877,143,0,0,0,100,"NONE"
"S1","symmetric",59353,56,148,0.225,4.0296,125,10,4,9,91.2,"HIGH"
"S1","symmetric",59377,57,148,-0.0457,0.1374,148,0,0,0,100,"NONE"
"S1","symmetric",60111,58,148,0.0658,0.1708,148,0,0,0,100,"NONE"
"S1","symmetric",60116,59,148,-0.0138,0.1421,148,0,0,0,100,"NONE"
"S1","symmetric",60146,60,148,-0.0536,0.5143,147,1,0,0,100,"LOW"
"S1","symmetric",60151,61,148,-0.0281,0.2137,148,0,0,0,100,"NONE"
"S1","sym_lambda",48342,1,148,-0.0104,0.3323,148,0,0,0,100,"NONE"
"S1","sym_lambda",50764,2,141,0.1508,0.7132,124,15,2,0,98.6,"MODERATE"
"S1","sym_lambda",51185,3,141,0.0049,0.3389,141,0,0,0,100,"NONE"
"S1","sym_lambda",52347,4,148,0.0129,0.26,148,0,0,0,100,"NONE"
"S1","sym_lambda",52788,5,147,0.0179,0.3454,147,0,0,0,100,"NONE"
"S1","sym_lambda",54074,6,146,-0.0028,0.2846,146,0,0,0,100,"NONE"
"S1","sym_lambda",54892,7,148,0.0394,0.3194,148,0,0,0,100,"NONE"
"S1","sym_lambda",55173,8,148,-0.0052,2.628,147,0,0,1,99.3,"HIGH"
"S1","sym_lambda",55745,9,147,0.0519,0.2379,147,0,0,0,100,"NONE"
"S1","sym_lambda",57304,10,148,-0.0425,0.3429,148,0,0,0,100,"NONE"
"S1","sym_lambda",57539,11,148,0.0063,0.2902,148,0,0,0,100,"NONE"
"S1","sym_lambda",57904,12,145,-0.0038,0.4154,145,0,0,0,100,"NONE"
"S1","sym_lambda",58102,13,147,0.0399,2.8645,146,0,0,1,99.3,"HIGH"
"S1","sym_lambda",58432,14,146,-0.0454,0.2906,146,0,0,0,100,"NONE"
"S1","sym_lambda",58529,15,141,0.0773,0.4325,141,0,0,0,100,"NONE"
"S1","sym_lambda",58585,16,148,0.0506,0.6826,146,2,0,0,100,"LOW"
"S1","sym_lambda",58623,17,148,0.0262,0.2014,148,0,0,0,100,"NONE"
"S1","sym_lambda",58630,18,145,-0.0024,0.2855,145,0,0,0,100,"NONE"
"S1","sym_lambda",58633,19,148,-0.0783,0.2393,148,0,0,0,100,"NONE"
"S1","sym_lambda",58664,20,147,0.0903,3.0558,140,1,1,5,95.9,"HIGH"
"S1","sym_lambda",58684,21,148,0.4005,1.59,106,2,2,38,73,"HIGH"
"S1","sym_lambda",58704,22,148,-0.0194,0.0888,148,0,0,0,100,"NONE"
"S1","sym_lambda",58726,23,147,0.048,0.5609,146,1,0,0,100,"LOW"
"S1","sym_lambda",58818,24,146,-0.0078,0.227,146,0,0,0,100,"NONE"
"S1","sym_lambda",58826,25,148,-0.0187,0.1186,148,0,0,0,100,"NONE"
"S1","sym_lambda",58875,26,145,-0.0613,0.1054,145,0,0,0,100,"NONE"
"S1","sym_lambda",58890,27,148,0.008,0.5259,147,1,0,0,100,"LOW"
"S1","sym_lambda",58896,28,148,-0.0375,0.2565,148,0,0,0,100,"NONE"
"S1","sym_lambda",58941,29,147,7e-04,0.1312,147,0,0,0,100,"NONE"
"S1","sym_lambda",58971,30,148,0.0139,0.3864,148,0,0,0,100,"NONE"
"S1","sym_lambda",58976,31,148,0.031,0.2498,148,0,0,0,100,"NONE"
"S1","sym_lambda",58990,32,148,-0.0555,0.2172,148,0,0,0,100,"NONE"
"S1","sym_lambda",58994,33,148,-0.0228,0.1491,148,0,0,0,100,"NONE"
"S1","sym_lambda",59058,34,147,-0.033,0.0921,147,0,0,0,100,"NONE"
"S1","sym_lambda",59066,35,148,-0.0633,0.3662,148,0,0,0,100,"NONE"
"S1","sym_lambda",59082,36,118,0.5115,1.6102,60,2,22,34,52.5,"HIGH"
"S1","sym_lambda",59095,37,131,0.0609,0.1942,131,0,0,0,100,"NONE"
"S1","sym_lambda",59134,38,129,-0.0401,0.1514,129,0,0,0,100,"NONE"
"S1","sym_lambda",59136,39,132,0.0194,0.2666,132,0,0,0,100,"NONE"
"S1","sym_lambda",59142,40,148,0.0367,0.6322,147,1,0,0,100,"LOW"
"S1","sym_lambda",59151,41,148,0.0169,0.2282,148,0,0,0,100,"NONE"
"S1","sym_lambda",59164,42,145,0.1099,0.2849,145,0,0,0,100,"NONE"
"S1","sym_lambda",59167,43,148,0.0233,0.2651,148,0,0,0,100,"NONE"
"S1","sym_lambda",59198,44,146,0.0231,0.1947,146,0,0,0,100,"NONE"
"S1","sym_lambda",59216,45,148,0.0355,1.7963,145,0,2,1,98,"HIGH"
"S1","sym_lambda",59248,46,148,-0.0126,0.4151,148,0,0,0,100,"NONE"
"S1","sym_lambda",59274,47,148,0.128,3.6934,132,2,1,13,90.5,"HIGH"
"S1","sym_lambda",59287,48,127,0.0506,0.1708,127,0,0,0,100,"NONE"
