"","variable","median","rhat","ess_bulk"
"1","mu_pr[1]",-0.55947113,1.01375679418752,308.92686494083
"2","mu_pr[2]",-1.4808392,1.01288507807031,340.529530513681
"3","mu_pr[3]",-0.529623965,1.00119494849648,1018.87725968216
"4","sigma[1]",0.623507245,1.01198553095656,419.45561391776
"5","sigma[2]",0.38845992,1.00486828969572,619.526369490996
"6","sigma[3]",0.912977175,1.00102843439693,1159.32004299491
"7","tau_pr[1]",0.151397475,1.00091558905737,6612.78204723383
"8","tau_pr[2]",-0.281328055,1.00138275641059,7350.82291435313
"9","tau_pr[3]",-0.0825814555,1.00063338507914,10945.3651115595
"10","tau_pr[4]",1.53675635,1.00257664977781,2475.35527881176
"11","tau_pr[5]",1.3877554,1.0017088528755,2122.82267239802
"12","tau_pr[6]",0.590547765,1.00193308774379,3936.49555481207
"13","tau_pr[7]",-0.299572925,1.00008379534368,7932.26466627175
"14","tau_pr[8]",0.0726662405,1.00090178266919,8192.16812419256
"15","tau_pr[9]",-0.11258982,1.00099558163508,10116.6920324808
"16","tau_pr[10]",-0.0970608925,1.00057043092203,9475.40473118035
"17","tau_pr[11]",-0.293230245,1.0005743151767,10242.2077158893
"18","tau_pr[12]",0.0426259235,0.999924589391464,10907.3309575356
"19","tau_pr[13]",-0.11315113,1.00035357881003,6597.59076751309
"20","tau_pr[14]",-0.0248090825,1.00141414855151,9359.09020268983
"21","tau_pr[15]",-0.557125745,1.00047178681444,6710.21997659486
"22","tau_pr[16]",0.163009935,1.00030727916235,12004.4323970455
"23","tau_pr[17]",-0.412325195,1.00022041220966,4828.08408023997
"24","tau_pr[18]",-0.49365926,1.0007122588882,7361.43210425118
"25","tau_pr[19]",-0.36456788,1.00020882072535,8910.87457814679
"26","tau_pr[20]",-0.24335352,1.00036816690622,10314.9343772068
"27","tau_pr[21]",-0.245650255,1.00134647096907,3780.14557587625
"28","tau_pr[22]",-0.330617145,1.00014748942488,8476.98993950769
"29","tau_pr[23]",-0.38327519,1.00076406682855,9942.35698205226
"30","tau_pr[24]",-0.516482485,1.00042227537316,4173.53703814171
"31","tau_pr[25]",-0.198269225,1.0004974147204,4767.29048573868
"32","tau_pr[26]",-0.432531845,1.00000814664027,6228.92140671329
"33","tau_pr[27]",-0.55893335,1.00144053581578,2968.69032445466
"34","tau_pr[28]",0.3996248,1.0014482626963,3432.40092824554
"35","tau_pr[29]",-0.29968344,0.999888732092645,10479.5271780447
"36","tau_pr[30]",0.2121599,1.00208542862226,2387.69649335355
"37","tau_pr[31]",-0.62627758,1.00130161654839,3035.56049060824
"38","tau_pr[32]",0.02014478,0.999897667388665,10110.0942892432
"39","tau_pr[33]",-0.474262425,1.00092671837847,5526.25410609576
"40","tau_pr[34]",1.1039591,1.001454289172,2000.64581492226
"41","tau_pr[35]",-0.705473565,1.00098010608654,2294.40677989213
"42","tau_pr[36]",-0.346844635,1.0005426157444,9007.45703005068
"43","tau_pr[37]",-0.440329495,1.00062908584823,8846.87721379903
"44","tau_pr[38]",0.31705169,1.00041146407631,3495.36392953142
"45","tau_pr[39]",1.08931145,1.00120964370112,2116.8919536716
"46","tau_pr[40]",-0.402625375,1.00010187101159,7145.45686806477
"47","tau_pr[41]",-0.405690185,1.00067950506989,9296.80157096566
"48","tau_pr[42]",-0.29407515,1.00032134505249,7633.2024917299
"49","tau_pr[43]",-0.11597915,1.00182167121793,7884.72287448448
"50","tau_pr[44]",-0.63316769,1.00107840353825,4263.72656152909
"51","tau_pr[45]",-0.519042,1.00210864483578,6182.48078642101
"52","tau_pr[46]",-0.655887525,1.00105646762139,2913.25787148043
"53","tau_pr[47]",-0.39422701,1.00180801903354,9550.79493154435
