"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"symmetric",0,0,-5600.85741457674,102.939495637348,95.3663984772907,9.08548153976075,11201.7148291535,205.878991274696
"asymmetric",-11.4663705151758,5.04994735828594,-5612.32378509192,102.012484629145,100.308300944556,10.7348578161214,11224.6475701838,204.024969258289
"asym_lambda_w",-45.2854396589143,19.199531042252,-5646.14285423565,101.302749917628,113.997307052481,12.7324104919341,11292.2857084713,202.605499835256
"asym_lambda",-46.8398593858332,19.5378029028731,-5647.69727396257,101.125286824082,117.250388534331,13.5277290727189,11295.3945479251,202.250573648164
