"","variable","median","rhat","ess_bulk"
"1","mu_pr[1]",-1.09814055,1.00794309735987,548.240196115588
"2","mu_pr[2]",-2.4665415,1.00298888970813,1176.61768396923
"3","mu_pr[3]",-1.3983662,1.00899362316548,571.098881715909
"4","mu_pr[4]",-0.0913794275,1.00235063334982,1349.12642049876
"5","mu_pr[5]",0.027962169,1.00187911342436,1680.87956715004
"6","sigma[1]",0.66054058,1.00358733144795,694.875233422158
"7","sigma[2]",0.184687285,1.00167060847877,4004.29080670002
"8","sigma[3]",0.446429225,1.00642471213437,548.128300501696
"9","sigma[4]",0.54358249,1.00185869451584,1572.79688735112
"10","sigma[5]",0.444411115,1.00361667865767,741.836948319272
"11","tau_pr[1]",0.35297288,1.00137107786518,6345.50177056705
"12","tau_pr[2]",0.135464115,1.00007288884396,7122.05035837764
"13","tau_pr[3]",-0.21969657,1.00081316622869,10095.4523798194
"14","tau_pr[4]",0.97723778,1.0030178613741,1689.12170544402
"15","tau_pr[5]",1.35911185,1.00148832037211,3353.59167385734
"16","tau_pr[6]",0.489501435,1.00232497988395,4163.53219846388
"17","tau_pr[7]",-0.25600586,1.00053690941299,7687.5944117384
"18","tau_pr[8]",0.3311386,1.00049001604532,7122.1781375776
"19","tau_pr[9]",0.067503062,1.0003571503372,8206.11367676632
"20","tau_pr[10]",0.0648083695,1.00001749064015,8324.26060598972
"21","tau_pr[11]",-0.254400315,1.00029665425771,8663.4154073406
"22","tau_pr[12]",0.0858686115,1.00052203366098,10016.7803793203
"23","tau_pr[13]",0.033637894,1.00116532114392,7181.74319628548
"24","tau_pr[14]",0.1626413,1.0008960561088,7752.67526213906
"25","tau_pr[15]",-0.578350235,1.0016404147674,10090.0104735619
"26","tau_pr[16]",0.058070923,1.00001357163715,7977.94606325074
"27","tau_pr[17]",-0.75095458,1.00088923886015,7960.79621674699
"28","tau_pr[18]",-0.686387055,1.00033560628926,7226.95020243749
"29","tau_pr[19]",-0.450635995,1.00003429346511,8228.60998173062
"30","tau_pr[20]",-0.24489267,1.00012894073523,7050.92131394781
"31","tau_pr[21]",0.15308263,1.00122047606105,2546.77769019037
"32","tau_pr[22]",-0.473694935,1.00072347015065,8430.54108903388
"33","tau_pr[23]",-0.48188034,1.00071932543091,9119.43612308127
"34","tau_pr[24]",-0.83658336,1.00081527441725,7186.49379185445
"35","tau_pr[25]",0.370389575,1.00092251761394,2689.47740536332
"36","tau_pr[26]",-0.374071175,1.0004055444257,8488.10713706146
"37","tau_pr[27]",-0.768949365,1.00014286426827,6496.87771531175
"38","tau_pr[28]",0.349852355,1.00124938615692,4401.58832128428
"39","tau_pr[29]",-0.13293426,1.00167936765519,7967.56868440282
"40","tau_pr[30]",0.569210735,1.00138754169338,3649.89165267982
"41","tau_pr[31]",-0.927891665,1.00043690891526,6377.73544454684
"42","tau_pr[32]",0.0162890425,0.999848711581368,9280.87066966841
"43","tau_pr[33]",-0.78639907,1.00049772382506,6886.06927753476
"44","tau_pr[34]",1.75450585,1.00006545305185,4711.67320509683
"45","tau_pr[35]",-1.06272245,1.002067997201,5745.82135491938
"46","tau_pr[36]",-0.441450935,1.00033092621209,8071.9038854684
"47","tau_pr[37]",-0.58169713,1.00059589811763,6601.54109762627
"48","tau_pr[38]",-0.00096097471,1.00012947793868,7888.1849562159
"49","tau_pr[39]",1.05153335,0.999922171406353,5109.98582858074
"50","tau_pr[40]",-0.737299325,1.00091510175213,7111.27823643643
"51","tau_pr[41]",-0.516226995,1.00054905366477,7238.44832495911
"52","tau_pr[42]",-0.202454145,1.00061353316272,8675.25174075484
"53","tau_pr[43]",-0.058824387,0.999962837866316,8421.39560894536
"54","tau_pr[44]",-0.93926205,1.00102232432488,5133.53229809338
"55","tau_pr[45]",-0.7074545,1.00051386056004,4208.86661456503
"56","tau_pr[46]",-0.91788275,1.00061998116307,5342.47403593814
"57","tau_pr[47]",-0.4509656,1.00082737990301,7729.93803477417
"58","tau_pr[48]",-0.799891465,1.00037791827617,5258.25852794646
"59","tau_pr[49]",-0.839913405,1.00105944052473,6016.65489582249
"60","tau_pr[50]",0.543650655,1.00012697428501,5225.95979422771
"61","tau_pr[51]",0.993205705,1.00191497578641,6060.68158306886
"62","tau_pr[52]",-0.296564935,1.00060256895925,7682.65233812005
"63","tau_pr[53]",-0.00640995535,1.00034418939065,8393.61806917533
"64","tau_pr[54]",0.648895365,1.00143889411624,6498.61335613319
"65","tau_pr[55]",-0.820585225,1.00037626858945,6087.03998432758
"66","tau_pr[56]",0.284058005,1.00093898342286,7271.54217401157
"67","tau_pr[57]",-0.70283751,1.00016959457231,8108.99877325531
"68","tau_pr[58]",0.7960764,1.00153717932515,5658.27537697404
"69","tau_pr[59]",0.744637355,1.000786030755,3830.71074082889
"70","tau_pr[60]",-0.12951364,1.00038897171625,8614.32053053906
"71","tau_pr[61]",0.40629658,1.00018961680877,8400.93716375092
"72","tau_pr[62]",0.53131103,1.00090037739622,5438.78253979343
"73","tau_pr[63]",0.39309502,1.0016658311944,2683.39047693098
"74","tau_pr[64]",0.118112635,1.00240467449449,2571.08060697121
"75","tau_pr[65]",-0.50402882,1.00089141608881,7545.80649216324
"76","tau_pr[66]",-0.35776991,1.00031303996412,7570.74025753561
"77","tau_pr[67]",0.24605124,1.00090780508859,3973.73719205197
"78","tau_pr[68]",0.5375837,1.00124540251424,5652.28426125326
"79","tau_pr[69]",0.72146868,1.00139169664636,3707.03150831456
"80","tau_pr[70]",0.402594885,1.00217795083901,1916.97229565023
"81","tau_pr[71]",0.847522395,1.00136231678193,2711.94283461082
"82","tau_pr[72]",0.053620645,1.00177734231762,8775.7347798754
"83","tau_pr[73]",-0.078976673,1.00068702137532,7319.26532464446
"84","tau_pr[74]",-0.30868813,1.00122303727522,7914.6453998161
"85","tau_pr[75]",0.782612235,1.00173631600589,3614.82396143252
"86","tau_pr[76]",-0.380938,1.0012413034963,6596.3446929888
"87","tau_pr[77]",-0.219896595,1.00272010869568,1785.45899904736
"88","tau_pr[78]",-0.46442106,1.00160169582762,2872.87109270181
"89","tau_pr[79]",-0.817457145,1.0004090576947,5035.81229065594
"90","tau_pr[80]",-0.2760381,1.00087347317501,8189.17866116134
"91","tau_pr[81]",-0.81207637,1.00060467341589,4682.23580221203
"92","tau_pr[82]",-0.0433750505,1.00038807373912,8530.44691016282
"93","tau_pr[83]",0.41117341,1.00043509363846,5804.14971857964
"94","tau_pr[84]",0.364317165,1.00174461387237,6435.87516678242
"95","tau_pr[85]",0.37131228,1.00134304421162,6089.50040624217
"96","tau_pr[86]",-0.413565065,1.00006261767792,7053.55154259837
"97","tau_pr[87]",-0.287514845,1.00046364656861,8921.08431504123
"98","tau_pr[88]",0.26159664,1.00125683198429,7464.47586582295
"99","tau_pr[89]",-0.33604924,1.0005090737251,9193.66350737689
"100","tau_pr[90]",0.0234519475,1.00064375225906,7993.72385882201
"101","tau_pr[91]",-0.758807365,1.00027630486245,5756.04270247018
"102","tau_pr[92]",-0.818758945,1.00122733415689,4803.21714094616
"103","tau_pr[93]",-0.567317725,1.00051689105363,8086.5462771464
"104","tau_pr[94]",0.762644505,1.00108656738146,6168.20249565103
"105","tau_pr[95]",2.11250495,1.00108846647708,3602.84129914621
"106","tau_pr[96]",-0.0167965115,1.00045770352423,8151.45434223923
"107","tau_pr[97]",0.06895149,1.00098051310097,5372.81508352412
"108","tau_pr[98]",1.9623092,1.00126735147518,3400.3771473288
"109","tau_pr[99]",-0.71484875,1.00081374240588,5883.82552453665
"110","tau_pr[100]",0.26543433,1.00073442913057,8238.64106249911
"111","tau_pr[101]",0.64691167,1.00117367910878,6777.34864200233
"112","tau_pr[102]",-0.528609235,1.00159694172903,6895.53687911096
"113","tau_pr[103]",1.64144215,1.00077270084094,3496.9199743636
"114","tau_pr[104]",-0.149675865,1.00006913076635,9762.51223821265
"115","tau_pr[105]",0.47393032,1.00073613360109,8192.30752310759
"116","tau_pr[106]",-1.016918,1.00212576730663,4110.57951387505
"117","tau_pr[107]",0.194266145,1.00022858134129,6878.55847365988
"118","tau_pr[108]",0.749612935,1.0006225400046,3761.1738248131
"119","tau_pr[109]",1.05637125,1.00094170084212,3429.64735844569
"120","tau_pr[110]",0.00564263685,1.00159401935499,9012.08488915482
"121","tau_pr[111]",-0.347269965,1.00054764694836,7244.76484658059
"122","tau_pr[112]",0.276402405,1.00002007888983,10820.0638648955
"123","tau_pr[113]",1.18712395,0.999936478407457,4922.1760847819
"124","tau_pr[114]",0.00126273175,1.00069549972323,7414.41179267066
"125","tau_pr[115]",-0.13644272,1.00035003041997,9450.05632420772
"126","tau_pr[116]",-0.09231995,1.00018803182748,9749.17316985749
"127","tau_pr[117]",-0.082697259,1.00037464262765,8731.3635563169
"128","tau_pr[118]",-0.61255398,1.00034598884472,5962.32244605885
"129","tau_pr[119]",-0.296859645,0.999876185644193,8604.1046889965
"130","tau_pr[120]",0.497376905,1.00100999089926,2882.45423955134
"131","tau_pr[121]",-1.342464,1.00125552868551,4865.19028122025
"132","tau_pr[122]",-0.733923575,1.00205665479886,5298.06772252278
"133","tau_pr[123]",-0.574562215,1.00070158781781,10133.1608599636
"134","tau_pr[124]",0.65770052,1.00183496086237,3744.00365153258
"135","tau_pr[125]",0.209626325,1.00078131648815,6963.4828751652
"136","tau_pr[126]",-0.867721235,1.00134819511151,4733.14339069728
"137","tau_pr[127]",0.92143029,1.00109024650041,5654.15843677357
"138","tau_pr[128]",-0.69791048,1.00095993994447,6506.55785642191
"139","tau_pr[129]",-0.0069911278,0.999900597281678,9043.66194190175
"140","tau_pr[130]",-0.36318818,0.999917442533339,7065.95098487972
"141","tau_pr[131]",-0.445333365,1.00119873813179,5398.64443950881
"142","tau_pr[132]",0.611725775,1.00092759302645,6565.57742875149
"143","tau_pr[133]",-0.000708863765,1.00051566169746,7739.63340387819
"144","tau_pr[134]",-0.597027675,1.00059734403293,7395.59736189894
"145","tau_pr[135]",-0.187364735,1.00023575764229,9548.7171639994
"146","tau_pr[136]",0.56465382,1.00144649264984,5429.99599720585
"147","tau_pr[137]",0.25927602,1.00070266195935,7076.34256244829
"148","tau_pr[138]",-0.96420063,1.00095338477601,5473.38499334341
"149","tau_pr[139]",-0.750759735,1.00081163423402,5730.87807648636
"150","tau_pr[140]",-0.8685311,1.00168541162278,7977.11229668448
"151","tau_pr[141]",0.447910515,1.00246016116819,3175.16402313968
"152","tau_pr[142]",-0.4054247,1.00180416006887,6892.47253312876
"153","tau_pr[143]",0.74213026,1.00100622610192,2962.52545373791
"154","tau_pr[144]",0.444418115,1.00064846932497,5173.2717052554
"155","tau_pr[145]",-0.65086847,1.00067002354481,7902.01557251787
"156","tau_pr[146]",0.95072316,1.00106725006427,4133.59552399305
"157","tau_pr[147]",0.051859051,0.999795243690824,7485.88479043822
"158","tau_pr[148]",0.413026195,1.000767859881,8302.89931946446
"159","tau_pr[149]",1.2600636,1.00071338248385,3055.2332658441
"160","tau_pr[150]",-0.1905771,1.00154366226347,8065.60934379234
"161","tau_pr[151]",0.39104179,1.00028095786633,7650.15689691533
"162","tau_pr[152]",0.15658423,1.00196416869679,1774.05287764936
"163","tau_pr[153]",0.60836678,1.00230063347837,5853.89661426543
"164","tau_pr[154]",-0.17556673,1.00054453744456,8714.03791657539
"165","tau_pr[155]",-0.443558535,1.00038082170407,7602.00558108232
"166","tau_pr[156]",-0.305477905,1.00051505545073,11297.2127648546
"167","tau_pr[157]",0.37050943,1.00073196457865,3717.93410097079
"168","tau_pr[158]",-0.223291785,0.999777075736362,7834.55706140625
"169","tau_pr[159]",1.40278195,1.00070236402492,3163.7491916916
"170","tau_pr[160]",0.298839025,1.00108368571472,7825.6279677446
"171","tau_pr[161]",0.220077035,1.0005827048812,7405.16952319125
"172","tau_pr[162]",-0.012515411,1.00017946457919,7941.31692145744
"173","tau_pr[163]",-0.489487985,1.00014314116495,5958.11283637751
"174","tau_pr[164]",-0.22939361,1.00057177070471,8154.6657771665
"175","tau_pr[165]",-0.24257929,1.00054912102581,7508.80572386476
"176","tau_pr[166]",-0.77859824,1.00105502035886,5022.42147414763
"177","tau_pr[167]",-0.32608984,1.0011125057797,9992.18942470958
"178","tau_pr[168]",-0.74522676,1.00052762627009,4468.85610804318
"179","tau_pr[169]",0.645133455,1.00033008218764,6234.5966204187
"180","tau_pr[170]",-0.42070255,1.00144097863238,6275.12734297479
"181","tau_pr[171]",1.71047375,1.00052745191807,4071.22557428034
"182","tau_pr[172]",-0.43400647,1.00033841364062,7003.68892530158
"183","tau_pr[173]",-1.28676545,1.00066960894405,3415.54035899057
"184","tau_pr[174]",0.72002194,1.00129782871562,4791.54300322651
"185","tau_pr[175]",-0.73023276,1.00046984784743,6652.99344290019
"186","tau_pr[176]",-0.083385236,1.00054453788432,6923.03624686283
"187","tau_pr[177]",0.226221405,1.00031683309737,7413.74850163901
"188","tau_pr[178]",-0.086943379,1.00028989443462,8332.74823870745
"189","tau_pr[179]",0.7948678,1.00157678435812,4755.82874352157
"190","tau_pr[180]",-0.872240245,1.00060230271482,5417.03888836207
"191","tau_pr[181]",0.0463070805,1.00159149232781,7524.90317831306
"192","m_in_pr[1]",-0.0162222675,1.00050833910611,14074.606559764
"193","m_in_pr[2]",-0.0032814857,1.00066191826913,15718.7576770698
"194","m_in_pr[3]",-0.036479717,0.999854840492544,15230.7803501021
"195","m_in_pr[4]",-0.046550937,1.00067837619406,13030.7726589111
"196","m_in_pr[5]",0.045253822,1.00123698522952,14239.2187314567
"197","m_in_pr[6]",-0.0265057815,0.999806432481442,13231.4488755432
"198","m_in_pr[7]",-0.0090328325,1.00072845695248,16223.3798328981
"199","m_in_pr[8]",0.0069638498,1.00047826149719,12718.2394129048
"200","m_in_pr[9]",0.030873238,1.0001405307033,14272.0588160181
"201","m_in_pr[10]",0.00940509575,1.00023192440594,13651.018038165
"202","m_in_pr[11]",-0.0307573995,1.00068206511623,14623.5951863029
"203","m_in_pr[12]",0.0135123035,1.00039883011756,13865.0362072588
"204","m_in_pr[13]",0.026622169,1.00011422953153,13159.5272932101
"205","m_in_pr[14]",0.0130632895,1.00066779093808,14616.7600295546
"206","m_in_pr[15]",-0.048920847,1.00131715643806,14806.1100114561
"207","m_in_pr[16]",-0.00521160315,1.0002071094113,15532.0776144148
"208","m_in_pr[17]",-0.055477168,1.00110526100665,14657.9531445173
"209","m_in_pr[18]",-0.0391145815,0.999717265317349,13892.4033805464
"210","m_in_pr[19]",-0.00298916595,1.00137238757531,14646.1162429352
"211","m_in_pr[20]",-0.012861435,1.00045084245861,12978.4406590602
"212","m_in_pr[21]",-0.00850820635,1.0002982687314,13464.4184070117
"213","m_in_pr[22]",-0.0192985035,0.999804882481663,15536.8619332576
"214","m_in_pr[23]",-0.0553949025,1.00001149220419,14038.2283504947
"215","m_in_pr[24]",-0.0622328285,0.999858439706028,12592.1692833866
"216","m_in_pr[25]",0.0209178825,0.999949580168071,14572.3613210646
"217","m_in_pr[26]",-0.02461962,1.00014517704504,14981.651921516
"218","m_in_pr[27]",-0.0621325855,1.00001062416442,15599.0019861555
"219","m_in_pr[28]",-0.0255319,1.00070573727088,13835.5338564634
"220","m_in_pr[29]",0.00122816225,1.00025469947982,13557.4354129827
"221","m_in_pr[30]",-0.044799211,1.00073626156967,12752.9847356692
"222","m_in_pr[31]",-0.0756166665,1.00080521388606,13645.6551026249
"223","m_in_pr[32]",-0.0246607315,1.00073270819292,15018.2110403303
"224","m_in_pr[33]",-0.083209396,1.00026531464626,14112.6996790363
"225","m_in_pr[34]",0.118265475,1.00246134730086,12085.5442464439
"226","m_in_pr[35]",-0.0622246815,1.00018449631199,12723.8974447442
"227","m_in_pr[36]",-0.028478989,1.00044656828239,13731.0013070342
"228","m_in_pr[37]",-0.022363627,1.00027828432907,14419.4394575267
"229","m_in_pr[38]",-0.00075209276,0.999929109690582,14163.0881343015
"230","m_in_pr[39]",0.059286819,0.999958725202753,13992.966198874
"231","m_in_pr[40]",-0.036534474,1.00065595135272,13180.3077860081
"232","m_in_pr[41]",-0.057658644,1.00079908140496,13636.8568200122
"233","m_in_pr[42]",-0.036381995,1.00044616646912,12818.2825511076
"234","m_in_pr[43]",-0.0080199431,1.00075323195931,16241.066786876
"235","m_in_pr[44]",-0.046649719,1.00011045074633,12984.857646613
"236","m_in_pr[45]",-0.032821604,1.00086966734184,12629.6152207197
"237","m_in_pr[46]",-0.052449678,1.00044830199616,14710.2409957422
"238","m_in_pr[47]",0.0085598239,1.00053398563624,15579.9040452255
"239","m_in_pr[48]",-0.043558195,1.00019532394538,13338.6253089927
"240","m_in_pr[49]",-0.052479396,0.999852473159443,12410.4324256222
"241","m_in_pr[50]",0.050119314,1.00046535332014,12458.3334607051
"242","m_in_pr[51]",0.0808289735,1.00055510168531,14486.9549117001
"243","m_in_pr[52]",-0.0204303905,1.00156342943344,14055.2186833824
"244","m_in_pr[53]",-0.014872367,1.001210312193,13232.2321992397
"245","m_in_pr[54]",0.0317620665,1.00082974424732,14305.10081402
"246","m_in_pr[55]",-0.053543921,1.00037396621166,14024.7169341861
"247","m_in_pr[56]",-0.00106580836,1.00003820563969,12615.028113254
"248","m_in_pr[57]",-0.0379838625,1.00093238415034,12552.7702889846
"249","m_in_pr[58]",0.067401903,1.00086811421942,12366.1438065416
"250","m_in_pr[59]",-0.0067175518,1.00063722411547,16188.2894554332
"251","m_in_pr[60]",-0.012840154,1.00044993690032,14621.1875892324
"252","m_in_pr[61]",0.0513273375,1.00049278729825,13672.1574130038
"253","m_in_pr[62]",0.038526428,1.00103950777968,13778.6736252373
"254","m_in_pr[63]",0.0287652955,1.00082010633274,14303.639218132
"255","m_in_pr[64]",0.0076827921,1.00040502202714,13954.6220373726
"256","m_in_pr[65]",-0.0188951545,1.00065626851443,14551.058369731
"257","m_in_pr[66]",-0.018959892,1.0008554863331,14156.6537654747
"258","m_in_pr[67]",-0.039522884,1.00104555175051,14095.459965923
"259","m_in_pr[68]",0.0035553539,1.00005848190201,13647.5495664845
"260","m_in_pr[69]",0.021718208,1.00036682231856,14160.3935799385
"261","m_in_pr[70]",-0.033914509,1.00036821617775,15542.5519784457
"262","m_in_pr[71]",-0.04712948,1.00181926778381,12345.2360952488
"263","m_in_pr[72]",-0.0020065455,1.00109606816859,13879.5072417047
"264","m_in_pr[73]",0.012870892,0.999939158290066,13088.1497978878
"265","m_in_pr[74]",-0.011197315,1.0000393793958,14386.5675202388
"266","m_in_pr[75]",0.0240904115,0.999946333855441,15021.8902178911
"267","m_in_pr[76]",0.0123890985,1.0012862423199,12601.7434020913
"268","m_in_pr[77]",-0.0409971865,1.00116887592806,14953.1412470913
"269","m_in_pr[78]",-0.0363401795,1.00081701209992,13297.7629607142
"270","m_in_pr[79]",-0.052952995,1.00027435532078,12695.9946438777
"271","m_in_pr[80]",-0.00889593305,1.00081597971716,13406.7632677986
"272","m_in_pr[81]",-0.0608067425,1.00013072448841,15511.6539010407
"273","m_in_pr[82]",-0.0104683455,1.00015862361972,14824.996470457
"274","m_in_pr[83]",0.0147561485,1.00044229764852,14136.0387203593
"275","m_in_pr[84]",0.043422278,1.00005065456741,14011.0461270054
"276","m_in_pr[85]",-0.00093123528,1.00021886071874,13800.3604454017
"277","m_in_pr[86]",-0.026607527,1.00117171006993,15142.9136570978
"278","m_in_pr[87]",-0.0101893627,1.00049313605699,14407.0765453921
"279","m_in_pr[88]",0.020234682,1.00122278134727,13690.6544062036
"280","m_in_pr[89]",-0.0248299365,1.00053233701755,14520.1870124245
"281","m_in_pr[90]",0.0191824295,1.00105304507509,14968.4981888153
"282","m_in_pr[91]",-0.040601079,1.00052986936129,15471.2223697642
"283","m_in_pr[92]",-0.045574665,1.00026395836997,13895.4925169074
"284","m_in_pr[93]",-0.0223450515,1.00037600342728,15409.9976834375
"285","m_in_pr[94]",0.0724598295,1.0004681666826,12754.1036613913
"286","m_in_pr[95]",0.256671635,1.00068053847216,8129.09611218488
"287","m_in_pr[96]",-0.0059272871,1.00052565840987,15161.5015438913
"288","m_in_pr[97]",-0.03021744,1.00067355002232,14808.2955759671
"289","m_in_pr[98]",0.12043436,1.00060595127917,10379.005376653
"290","m_in_pr[99]",-0.043089333,1.00039448647765,13630.9733439812
"291","m_in_pr[100]",0.00517495365,1.00027037646631,15128.6343434231
"292","m_in_pr[101]",0.056143658,1.00099042030606,13753.2124302849
"293","m_in_pr[102]",-0.0481163205,1.00048906372037,15351.4980303175
"294","m_in_pr[103]",0.10632294,1.00130972129577,13035.6523606411
"295","m_in_pr[104]",-0.0046071477,1.00205067560627,15395.0249941147
"296","m_in_pr[105]",0.0274608895,1.00034716806672,13754.0883212636
"297","m_in_pr[106]",-0.0634645145,1.00079194835451,14321.4845771951
"298","m_in_pr[107]",0.028733281,1.00164567905846,15562.3084153921
"299","m_in_pr[108]",-0.0362504945,1.00051204351686,14311.5036070317
"300","m_in_pr[109]",0.0551017785,0.999973286126732,12177.3253987426
"301","m_in_pr[110]",-0.0409713005,1.00219782485667,15097.3019805481
"302","m_in_pr[111]",-0.0145526265,1.00075306291355,14170.5582043707
"303","m_in_pr[112]",0.0276193775,1.00106012860577,15389.17173744
"304","m_in_pr[113]",0.042597264,1.00023059015473,14795.6870369813
"305","m_in_pr[114]",0.00172201355,1.00028686313158,14058.674538904
"306","m_in_pr[115]",-0.0173641595,1.0008379419822,13334.7059714618
"307","m_in_pr[116]",-0.0051473778,1.00111783651463,13926.2389009739
"308","m_in_pr[117]",-0.0010535375,1.00044927764788,15668.4226962093
"309","m_in_pr[118]",-0.04617012,0.999875336875125,13686.4488603223
"310","m_in_pr[119]",-0.0271680055,1.00130432134428,12848.4884952639
"311","m_in_pr[120]",-0.021360097,1.00203563449882,14868.8022583764
"312","m_in_pr[121]",-0.12137144,1.00030538641239,13569.6144999297
"313","m_in_pr[122]",-0.047206379,1.00101218751642,14213.868505294
"314","m_in_pr[123]",-0.0381195755,1.0013255728037,14632.3039880797
"315","m_in_pr[124]",0.0038679928,1.0001856465596,15892.1025968802
"316","m_in_pr[125]",0.03270745,1.00100133950673,13381.8045300297
"317","m_in_pr[126]",-0.045092751,1.00096622619538,13590.7749565084
"318","m_in_pr[127]",0.0803185605,1.0005561835845,12949.7312368573
"319","m_in_pr[128]",-0.0379059825,1.00049155649006,14852.283594709
"320","m_in_pr[129]",0.015926437,1.00132093410181,13569.0539231075
"321","m_in_pr[130]",-0.0085073122,1.00035609258143,15726.8699827416
"322","m_in_pr[131]",-0.0170511355,1.00239218186304,14949.9685286933
"323","m_in_pr[132]",0.0249141735,1.00141355880255,15718.042254729
"324","m_in_pr[133]",0.00423173615,1.00112227977826,14245.3948614827
"325","m_in_pr[134]",-0.0185277395,1.00289073753342,14309.1677547364
"326","m_in_pr[135]",0.0173334435,1.00009837410081,14621.0726371067
"327","m_in_pr[136]",-0.0093560673,1.00012769847614,12674.3317429573
"328","m_in_pr[137]",-0.015298149,1.0004362143319,13796.4049650582
"329","m_in_pr[138]",-0.06394779,1.00028200582732,13520.1676118284
"330","m_in_pr[139]",-0.029904311,1.00053859707775,13543.8910404091
"331","m_in_pr[140]",-0.0600788105,1.00080815145373,14513.3443612087
"332","m_in_pr[141]",0.00111182303,1.00033808744947,13337.6504797996
"333","m_in_pr[142]",-0.017548927,1.00112990053499,14523.0115366847
"334","m_in_pr[143]",0.0367325435,1.00001852574227,14106.2675269449
"335","m_in_pr[144]",0.0183569765,1.0002893868813,14984.7874010373
"336","m_in_pr[145]",-0.049180565,1.00133639072724,13523.5172432073
"337","m_in_pr[146]",0.096911287,1.00065720029002,13081.0680058077
"338","m_in_pr[147]",-0.0099007635,1.00102224873472,13418.0918305919
"339","m_in_pr[148]",0.026244997,1.00070179569031,13878.1653805683
"340","m_in_pr[149]",0.098676452,1.00047812643665,13050.9482441371
"341","m_in_pr[150]",0.00250131045,1.00097040148658,15219.7046686842
"342","m_in_pr[151]",0.10306579,1.00085234206426,14130.4205525912
"343","m_in_pr[152]",-0.064691284,1.00056439508318,12653.426999408
"344","m_in_pr[153]",0.051044077,1.00023383619589,15712.1020170082
"345","m_in_pr[154]",-0.00064186897,1.0028569277399,13905.7144461168
"346","m_in_pr[155]",-0.0419601605,1.00017621067094,14418.1284014929
"347","m_in_pr[156]",-0.012530091,1.00005997078563,14320.6723122308
"348","m_in_pr[157]",-0.027535538,1.00038581933831,13979.8914560446
"349","m_in_pr[158]",0.000907783405,0.99999442824515,13877.9143016257
"350","m_in_pr[159]",0.08019062,1.00024422018776,13926.5886494574
"351","m_in_pr[160]",0.035606844,1.00058798829986,13136.8300819802
"352","m_in_pr[161]",0.0268730515,1.00117851310526,14880.0335282762
"353","m_in_pr[162]",0.014523432,1.00093766189221,14530.6632051751
"354","m_in_pr[163]",-0.010387062,1.00073467055922,13181.7748896747
"355","m_in_pr[164]",-0.0399975495,1.00091442394897,13537.2249991586
"356","m_in_pr[165]",-0.00753554225,1.00060861254644,13928.4893601601
"357","m_in_pr[166]",-0.047944186,1.00191247266654,14031.6371344926
"358","m_in_pr[167]",-0.0055085813,1.00091856012029,15287.3722389117
"359","m_in_pr[168]",-0.0190294955,1.0004304267135,14856.0565268769
"360","m_in_pr[169]",0.12595458,1.00096175643503,14040.978452683
"361","m_in_pr[170]",-0.0082349319,1.00028221332069,14532.0051011732
"362","m_in_pr[171]",0.199084785,1.00068971007424,9400.2594268191
"363","m_in_pr[172]",-0.0174454125,1.00038746493732,14385.4719025516
