"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"sym_lambda",0,0,-15939.2495491471,228.971962066859,330.101683267494,16.1973624069929,31878.4990982941,457.943924133718
"asym_lambda",-1.20085531044618,6.74392991079205,-15940.4504044575,228.775872981918,335.099674050819,15.9984972999263,31880.9008089151,457.551745963835
"symmetric",-41.2595728473731,22.1260207872862,-15980.5091219945,229.026652156738,318.161960597161,17.4468968721589,31961.0182439889,458.053304313476
"bias",-406.578305370175,57.736406962412,-16345.8278545173,224.280793504467,158.283506201286,5.75803394270652,32691.6557090345,448.561587008933
